+ favicon.png  871B → 1.8KB  (-106.0% saved)
+ media\c3s\c3s-1.jpg  1.1MB → 243.8KB  (78.9% saved)
+ media\projects\dataviz-gallery\39 found dead in truck near London.jpg  1.4MB → 269.5KB  (81.6% saved)
+ media\projects\dataviz-gallery\Andy Murray's grand slam journey.jpg  1.3MB → 208.9KB  (84.6% saved)
+ media\projects\dataviz-gallery\Aramco's IPO valuations.jpg  211.2KB → 57.1KB  (73.0% saved)
+ media\projects\dataviz-gallery\Areas held by M23 rebels.jpg  1.0MB → 165.1KB  (83.9% saved)
+ media\projects\dataviz-gallery\Areas suitable for Fall Armyworm invasion.jpg  447.8KB → 88.4KB  (80.3% saved)
+ media\projects\dataviz-gallery\Attack on miner convoy in Burkina Faso.jpg  785.0KB → 184.6KB  (76.5% saved)
+ media\projects\dataviz-gallery\Attacks on Ukraine's energy system spike during the winter.jpg  508.1KB → 84.1KB  (83.5% saved)
+ media\projects\dataviz-gallery\Attacks on Ukraine's energy system.jpg  438.6KB → 106.4KB  (75.7% saved)
+ media\projects\dataviz-gallery\Blue Origin’s passenger spacecraft.jpg  1.0MB → 225.8KB  (78.7% saved)
+ media\projects\dataviz-gallery\Chandrayaan-2 lunar soft landing sequence.jpg  399.9KB → 139.1KB  (65.2% saved)
+ media\projects\dataviz-gallery\Children’s camp on a Russian military base.jpg  363.1KB → 203.9KB  (43.9% saved)
+ media\projects\dataviz-gallery\China’s refining and petrochemical hubs.jpg  1.0MB → 199.0KB  (80.7% saved)
+ media\projects\dataviz-gallery\Conflict in Syria.jpg  461.6KB → 93.7KB  (79.7% saved)
+ media\projects\dataviz-gallery\Coronavirus containment zones in Italy.jpg  815.6KB → 157.2KB  (80.7% saved)
+ media\projects\dataviz-gallery\Coronavirus vaccines from creation to inoculation.jpg  578.1KB → 124.7KB  (78.4% saved)
+ media\projects\dataviz-gallery\COVID-19 cases cross 15 million globally COVID-19 cases cross 15 million globally.png  61.3KB → 30.1KB  (51.0% saved)
+ media\projects\dataviz-gallery\COVID-19 deaths among ages 40-59.jpg  165.2KB → 42.3KB  (74.4% saved)
+ media\projects\dataviz-gallery\COVID-19 infections among vaccinated people.jpg  391.1KB → 97.7KB  (75.0% saved)
+ media\projects\dataviz-gallery\COVID-19 outbreak in India.jpg  242.1KB → 57.7KB  (76.2% saved)
+ media\projects\dataviz-gallery\COVID-19 vaccination rates in the European Union COVID-19 vaccination rates in the European Union.png  161.2KB → 59.9KB  (62.8% saved)
+ media\projects\dataviz-gallery\COVID-19 vaccinations and variants in Europe.jpg  709.8KB → 146.2KB  (79.4% saved)
+ media\projects\dataviz-gallery\COVID-19 vaccinations by age in India.jpg  162.5KB → 43.3KB  (73.4% saved)
+ media\projects\dataviz-gallery\COVID-19 vaccinations in India.jpg  259.4KB → 59.8KB  (76.9% saved)
+ media\projects\dataviz-gallery\COVID-19 vaccine purchases by country.jpg  273.9KB → 64.4KB  (76.5% saved)
+ media\projects\dataviz-gallery\COVID-19 vaccine skepticism.png  189.7KB → 85.4KB  (55.0% saved)
+ media\projects\dataviz-gallery\Cyclone Idai’s destructive path.jpg  1006.8KB → 203.1KB  (79.8% saved)
+ media\projects\dataviz-gallery\Delhi pollution.jpg  350.3KB → 78.5KB  (77.6% saved)
+ media\projects\dataviz-gallery\Earthquake in Albania.jpg  901.0KB → 177.5KB  (80.3% saved)
+ media\projects\dataviz-gallery\Estimated effects on Russian gas flows.jpg  104.7KB → 26.4KB  (74.8% saved)
