id,title,url,ref_url,graphic_type,category,alt,client
39-found-dead-in-truck-near-london,39 found dead in truck near London,projects/dataviz-gallery/images/39-found-dead-in-truck-near-london.webp,,map,"society, misc","Infographic showing the route and discovery of 39 deceased individuals in a truck near London, featuring a map and satellite imagery.",reuters
andy-murrays-grand-slam-journey,Andy Murray's grand slam journey,projects/dataviz-gallery/images/andy-murrays-grand-slam-journey.webp,,chart,"sports, health, misc","A chart tracking tennis player Andy Murray's performance at four Grand Slam tournaments from 2005 to 2019, showing his progress by round.",reuters
aramcos-ipo-valuations,Aramco's IPO valuations,projects/dataviz-gallery/images/aramcos-ipo-valuations.webp,,chart,"economy, energy, society",A bar chart showing Aramco IPO valuation estimates from various banks ranging from $1.2 trillion to $2.3 trillion.,reuters
areas-held-by-m23-rebels,Areas held by M23 rebels,projects/dataviz-gallery/images/areas-held-by-m23-rebels.webp,,map,"conflict, politics","Map showing territory in eastern Democratic Republic of Congo held by M23 rebels as of August 1 and November 21, 2025.",reuters
areas-suitable-for-fall-armyworm-invasion,Areas suitable for Fall Armyworm invasion,projects/dataviz-gallery/images/areas-suitable-for-fall-armyworm-invasion.webp,,chart,"science, environment, economy","World map showing global areas suitable for fall armyworm infestation, with a heat scale from 0 to 100 based on environmental conditions.",reuters
attack-on-miner-convoy-in-burkina-faso,Attack on miner convoy in Burkina Faso,projects/dataviz-gallery/images/attack-on-miner-convoy-in-burkina-faso.webp,,map,"conflict, society","Infographic showing map locations of deadly miner convoy attacks in Burkina Faso, highlighting a November 2019 ambush near the Boungou mine.",reuters
attacks-on-ukraines-energy-system-spike-during-the-winter,Attacks on Ukraine's energy system spike during the winter,projects/dataviz-gallery/images/attacks-on-ukraines-energy-system-spike-during-the-winter.webp,,chart,"energy, conflict, economy","A stacked bar chart showing 271 Russian strikes on Ukraine's energy infrastructure by year, month, and facility type from 2022 to 2026.",reuters
attacks-on-ukraines-energy-system,Attacks on Ukraine's energy system,projects/dataviz-gallery/images/attacks-on-ukraines-energy-system.webp,,chart,"conflict, energy, politics","Map of Ukraine showing 84 power plant strikes (squares) and 187 substation attacks (dots) between April 2022 and 2026, highlighting conflict areas.",reuters
blue-origins-passenger-spacecraft,Blue Origin’s passenger spacecraft,projects/dataviz-gallery/images/blue-origins-passenger-spacecraft.webp,,illustration,"science, economy, society",Infographic showing Blue Origin's New Shepard rocket components and its suborbital flight sequence path.,reuters
covid-19-cases-cross-15-million-globally-covid-19-cases-cross-15-million-globally,COVID-19 cases cross 15 million globally COVID-19 cases cross 15 million globally,projects/dataviz-gallery/images/covid-19-cases-cross-15-million-globally-covid-19-cases-cross-15-million-globally.webp,,chart,"covid-19, health, science, economy","A Reuters area chart shows global COVID-19 cases rising to 15 million by July 2020, highlighting accelerating infection rates over time.",reuters
covid-19-deaths-among-ages-40-59,COVID-19 deaths among ages 40-59,projects/dataviz-gallery/images/covid-19-deaths-among-ages-40-59.webp,,chart,"covid-19, health, society","A bar chart showing COVID-19 death rates for ages 40-59: England (8.1%), France (6.2%), Italy (4.5%), and Spain (4.2%).",reuters
covid-19-infections-among-vaccinated-people,COVID-19 infections among vaccinated people,projects/dataviz-gallery/images/covid-19-infections-among-vaccinated-people.webp,,chart,"covid-19, health, science","Bar and line charts showing COVID-19 infection rates among vaccinated versus unvaccinated people, illustrating a significant reduction in risk.",reuters
covid-19-outbreak-in-india,COVID-19 outbreak in India,projects/dataviz-gallery/images/covid-19-outbreak-in-india.webp,,chart,"covid-19, health, society","An area chart tracking the rise of COVID-19 cases in India from February 2 to March 29, 2020, showing a steep increase to 1,397 total confirmed cases.",reuters
covid-19-vaccination-rates-in-the-european-union-covid-19-vaccination-rates-in-the-european-union,COVID-19 vaccination rates in the European Union COVID-19 vaccination rates in the European Union,projects/dataviz-gallery/images/covid-19-vaccination-rates-in-the-european-union-covid-19-vaccination-rates-in-the-european-union.webp,,chart,"covid-19, health, society","A horizontal bar chart showing EU adult COVID-19 vaccination rates as of Oct 2021, ranging from 24.2% in Bulgaria to 92.0% in Ireland.",reuters
covid-19-vaccinations-and-variants-in-europe,COVID-19 vaccinations and variants in Europe,projects/dataviz-gallery/images/covid-19-vaccinations-and-variants-in-europe.webp,,chart,"covid-19, health, society",Map of European vaccination rates and a bar chart showing the percentage of COVID-19 Delta variants by country.,reuters
covid-19-vaccinations-by-age-in-india,COVID-19 vaccinations by age in India,projects/dataviz-gallery/images/covid-19-vaccinations-by-age-in-india.webp,,chart,"covid-19, health, science","A bar chart showing COVID-19 vaccine doses in India by age group as of June 4, 2021, comparing vaccinated counts to total populations.",reuters
covid-19-vaccinations-in-india,COVID-19 vaccinations in India,projects/dataviz-gallery/images/covid-19-vaccinations-in-india.webp,,chart,"covid-19, health, society","Stacked area chart shows India's weekly COVID-19 vaccine doses by age group from Jan to May 2021, peaking near 20 million doses in early April.",reuters
covid-19-vaccine-purchases-by-country,COVID-19 vaccine purchases by country,projects/dataviz-gallery/images/covid-19-vaccine-purchases-by-country.webp,,chart,"covid-19, health, economy","A line chart comparing cumulative COVID-19 vaccine doses purchased per person across the UK, EU, Israel, US, and India from May 2020 to May 2021.",reuters
covid-19-vaccine-skepticism,COVID-19 vaccine skepticism,projects/dataviz-gallery/images/covid-19-vaccine-skepticism.webp,,chart,"covid-19, health, science, society",A horizontal arrow chart showing the decline in adult COVID-19 vaccine hesitancy across 15 countries from May to October 2021.,reuters
chandrayaan-2-lunar-soft-landing-sequence,Chandrayaan-2 lunar soft landing sequence,projects/dataviz-gallery/images/chandrayaan-2-lunar-soft-landing-sequence.webp,,chart,"science, space","An infographic detailing the Chandrayaan-2 lunar landing sequence, showing the Vikram lander's descent trajectory from orbit to the moon's surface.",reuters
childrens-camp-on-a-russian-military-base,Children’s camp on a Russian military base,projects/dataviz-gallery/images/childrens-camp-on-a-russian-military-base.webp,,map,"conflict, politics, misc","Satellite map of a Russian military base near Molkino, indicating barracks and checkpoints used by private military contractors.",reuters
chinas-refining-and-petrochemical-hubs,China’s refining and petrochemical hubs,projects/dataviz-gallery/images/chinas-refining-and-petrochemical-hubs.webp,,map,"energy, economy, science","Map of China showing locations of existing and planned fuel-focused and petrochemical refineries owned by PetroChina, Sinopec, and other companies.",reuters
conflict-in-syria,Conflict in Syria,projects/dataviz-gallery/images/conflict-in-syria.webp,,map,"conflict, politics, society","A color-coded map showing territorial control in Syria as of March 2020, highlighting areas held by government, opposition, and foreign forces.",reuters
coronavirus-containment-zones-in-italy,Coronavirus containment zones in Italy,projects/dataviz-gallery/images/coronavirus-containment-zones-in-italy.webp,,map,"covid-19, health, society","A map showing Italy's COVID-19 lockdown zones in yellow, overlaid on a purple population density heat map as of March 8, 2020.",reuters
coronavirus-vaccines-from-creation-to-inoculation,Coronavirus vaccines from creation to inoculation,projects/dataviz-gallery/images/coronavirus-vaccines-from-creation-to-inoculation.webp,,chart,"health, covid-19, science","Infographic showing Pfizer, Moderna, and AstraZeneca vaccine cold chain storage requirements, temperatures, and shelf life durations.",reuters
cyclone-idais-destructive-path,Cyclone Idai’s destructive path,projects/dataviz-gallery/images/cyclone-idais-destructive-path.webp,,map,"natural-disaster, society",A map showing Cyclone Idai’s path across Mozambique and satellite data of flooded areas and road access around Beira.,reuters
